id|title|categoryId|director|actors|releaseYear|durationMinutes|rating|viewCount|favoriteCount|synopsis
MOV-014|Oppenheimer|CAT-03|Christopher Nolan|Cillian Murphy,Emily Blunt,Matt Damon|2023|180|8.9|72300|21500|The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
MOV-015|Forrest Gump|CAT-03|Robert Zemeckis|Tom Hanks,Robin Wright,Gary Sinise|1994|142|8.8|63200|19400|The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75.
MOV-016|The Grand Budapest Hotel|CAT-04|Wes Anderson|Ralph Fiennes,F. Murray Abraham,Mathieu Amalric|2014|99|8.1|24800|7600|A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy.
MOV-017|Superbad|CAT-04|Greg Mottola|Jonah Hill,Michael Cera,Christopher Mintz-Plasse|2007|113|7.6|28900|6400|Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
MOV-018|The Hangover|CAT-04|Todd Phillips|Bradley Cooper,Ed Helms,Zach Galifianakis|2009|100|7.7|35600|8100|Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing.
MOV-019|Deadpool|CAT-04|Tim Miller|Ryan Reynolds,Morena Baccarin,T.J. Miller|2016|108|8.0|49800|13500|A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.
MOV-020|Knives Out|CAT-04|Rian Johnson|Daniel Craig,Chris Evans,Ana de Armas|2019|130|7.9|38700|10800|A detective investigates the death of the patriarch of an eccentric, combative family.
MOV-021|The Shining|CAT-05|Stanley Kubrick|Jack Nicholson,Shelley Duvall,Danny Lloyd|1980|146|8.4|33200|9400|A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence.
MOV-022|Hereditary|CAT-05|Ari Aster|Toni Collette,Milly Shapiro,Gabriel Byrne|2018|127|7.3|21500|5800|A grieving family is haunted by tragic and disturbing occurrences after the death of their secretive grandmother.
MOV-023|Get Out|CAT-05|Jordan Peele|Daniel Kaluuya,Allison Williams,Bradley Whitford|2017|104|7.8|36400|9700|A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness becomes a nightmare.
MOV-024|A Quiet Place|CAT-05|John Krasinski|Emily Blunt,John Krasinski,Millicent Simmonds|2018|90|7.5|29800|7100|A family must live in silence while hiding from monsters with ultra-sensitive hearing.
MOV-025|The Conjuring|CAT-05|James Wan|Patrick Wilson,Vera Farmiga,Ron Livingston|2013|112|7.5|31400|7900|Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.
MOV-026|La La Land|CAT-06|Damien Chazelle|Ryan Gosling,Emma Stone,Rosemarie DeWitt|2016|128|8.0|42100|13200|While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations.
MOV-027|Titanic|CAT-06|James Cameron|Leonardo DiCaprio,Kate Winslet,Billy Zane|1997|195|7.9|67800|18900|A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.
MOV-028|About Time|CAT-06|Richard Curtis|Domhnall Gleeson,Rachel McAdams,Bill Nighy|2013|123|7.8|25600|8400|At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life.
MOV-029|Pride & Prejudice|CAT-06|Joe Wright|Keira Knightley,Matthew Macfadyen,Brenda Blethyn|2005|129|7.8|22300|7500|Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy.
MOV-030|Before Sunrise|CAT-06|Richard Linklater|Ethan Hawke,Julie Delpy,Andrea Eckert|1995|101|8.1|19800|6900|A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna.
MOV-031|Se7en|CAT-07|David Fincher|Morgan Freeman,Brad Pitt,Kevin Spacey|1995|127|8.6|51200|15400|Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.
MOV-032|Parasite|CAT-07|Bong Joon Ho|Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong|2019|132|8.5|64500|19800|Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
MOV-033|Gone Girl|CAT-07|David Fincher|Ben Affleck,Rosamund Pike,Neil Patrick Harris|2014|149|8.1|38900|10500|With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him.
MOV-034|Shutter Island|CAT-07|Martin Scorsese|Leonardo DiCaprio,Emily Mortimer,Mark Ruffalo|2010|138|8.2|47600|13900|In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.
MOV-035|Prisoners|CAT-07|Denis Villeneuve|Hugh Jackman,Jake Gyllenhaal,Viola Davis|2013|153|8.1|34200|9600|When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads.
MOV-036|Spirited Away|CAT-08|Hayao Miyazaki|Daveigh Chase,Suzanne Pleshette,Miyu Irino|2001|125|8.6|46700|16800|During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits.
MOV-037|Spider-Man: Into the Spider-Verse|CAT-08|Bob Persichetti,Peter Ramsey|Shameik Moore,Jake Johnson,Hailee Steinfeld|2018|117|8.4|58900|17200|Teen Miles Morales becomes the new Spider-Man and joins other Spider-Heroes from other dimensions to stop a threat to all reality.
MOV-038|Coco|CAT-08|Lee Unkrich,Adrian Molina|Anthony Gonzalez,Gael Garcia Bernal,Benjamin Bratt|2017|105|8.4|41200|13400|Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather.
MOV-039|WALL-E|CAT-08|Andrew Stanton|Ben Burtt,Elissa Knight,Jeff Garlin|2008|98|8.4|37800|11900|In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.
MOV-040|The Lion King|CAT-08|Roger Allers,Rob Minkoff|Matthew Broderick,Jeremy Irons,James Earl Jones|1994|88|8.5|62400|20300|Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.
MOV-041|Planet Earth II|CAT-09|David Attenborough|David Attenborough|2016|300|9.5|28900|11500|David Attenborough returns with a new wildlife documentary that shows life in a variety of different habitats.
MOV-042|Free Solo|CAT-09|Jimmy Chin,Elizabeth Chai Vasarhelyi|Alex Honnold,Tommy Caldwell,Jimmy Chin|2018|100|8.1|18400|5900|Alex Honnold attempts to become the first person to ever free solo climb Yosemite's 3,000 foot high El Capitan wall.
MOV-043|The Social Dilemma|CAT-09|Jeff Orlowski|Tristan Harris,Jeff Seibert,Bailey Richardson|2020|94|7.6|31200|8200|Explores the dangerous human impact of social networking, with tech experts sounding the warning on their own creations.
MOV-044|Jiro Dreams of Sushi|CAT-09|David Gelb|Jiro Ono,Sukiyabashi Jiro,Yoshikazu Ono|2011|81|7.9|14500|4900|A documentary on 85-year-old sushi master Jiro Ono, his renowned Tokyo restaurant, and his relationship with his son.
MOV-045|My Octopus Teacher|CAT-09|Pippa Ehrlich,James Reed|Craig Foster|2020|85|8.1|22100|7400|A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.
MOV-046|The Lord of the Rings: The Fellowship of the Ring|CAT-10|Peter Jackson|Elijah Wood,Ian McKellen,Orlando Bloom|2001|178|8.9|82100|27600|A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth.
MOV-047|The Lord of the Rings: The Return of the King|CAT-10|Peter Jackson|Elijah Wood,Viggo Mortensen,Ian McKellen|2003|201|9.0|88900|30200|Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
MOV-048|Harry Potter and the Prisoner of Azkaban|CAT-10|Alfonso Cuaron|Daniel Radcliffe,Emma Watson,Rupert Grint|2004|142|7.9|53400|15800|Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner.
MOV-049|Pan's Labyrinth|CAT-10|Guillermo del Toro|Ivana Baquero,Ariadna Gil,Sergi Lopez|2006|118|8.2|27600|8900|In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.
MOV-050|Princess Mononoke|CAT-10|Hayao Miyazaki|Yoji Matsuda,Yuriko Ishida,Yuko Tanaka|1997|134|8.3|35900|12100|On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony.
MOV-051|Avatar: The Way of Water|CAT-01|James Cameron|Sam Worthington,Zoe Saldana,Sigourney Weaver|2022|192|7.6|59800|14800|Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri.
MOV-052|The Wolf of Wall Street|CAT-03|Martin Scorsese|Leonardo DiCaprio,Jonah Hill,Margot Robbie|2013|180|8.2|67400|18600|Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.
